,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
187,2015-04-10,5015.994089908532,5015.994089908532,5015.994089908532,4951.912550203187,4703.876456697267,5172.087036690659
188,2015-04-13,5012.291776724459,5012.291776724459,5012.291776724459,4958.36172259258,4742.541719598293,5186.18408750073
189,2015-04-14,5011.057672329767,5011.057672329767,5011.057672329767,4974.444822803032,4768.4618034583145,5198.716254459938
190,2015-04-15,5009.823567935077,5009.823567935077,5009.823567935077,4980.050413708498,4757.264770238602,5194.231035754031
191,2015-04-16,5008.589463540386,5008.589463540386,5008.589463540386,4980.698579970797,4761.742795876164,5226.854633479804
192,2015-04-17,5007.355359145695,5007.355359145695,5007.355359145695,4986.898386514258,4764.184098623296,5225.090490769199
193,2015-04-20,5003.653045961622,5003.653045961622,5003.653045961622,4994.347213318067,4765.299268489112,5198.0789782966895
194,2015-04-21,5002.418941566931,5002.418941566931,5002.418941566931,5009.929389660892,4790.3887685711825,5224.767663255685
195,2015-04-22,5001.18483717224,5001.18483717224,5001.18483717224,5014.5839748882945,4792.513148246536,5240.608096738012
196,2015-04-23,4999.950732777549,4999.950732777549,4999.950732777549,5013.8214132365065,4797.2653681189695,5229.62904421631
197,2015-04-24,4998.716628382857,4998.716628382857,4998.716628382857,5018.149334825014,4792.465925111406,5254.557842559337
198,2015-04-27,4995.014315198785,4995.014315198785,4995.014315198785,5017.340578406024,4804.593301503768,5224.5832751243215
199,2015-04-28,4993.780210804093,4993.780210804093,4993.780210804093,5029.381194578552,4794.58618536982,5238.422722219221
200,2015-04-29,4992.5461064094025,4992.5461064094025,4992.5461064094025,5030.171060850499,4808.219938511012,5248.081733587375
201,2015-04-30,4991.312002014713,4991.312002014713,4991.312002014713,5025.278337233601,4799.474072005165,5258.295798248003
202,2015-05-01,4990.077897620022,4990.077897620022,4990.077897620022,5025.277465219538,4794.998129437451,5238.75911977219
203,2015-05-04,4986.3755829134,4986.3755829134,4986.3755829134,5011.072155412511,4781.324325355976,5234.94404006211
204,2015-05-05,4985.141478011192,4985.141478011192,4985.141478011192,5018.7987079765635,4800.2267770922335,5222.724284440362
205,2015-05-06,4983.907373108985,4983.907373108985,4983.907373108985,5015.50193830517,4784.091931326252,5231.34819368112
206,2015-05-07,4982.673268206776,4982.673268206776,4982.673268206776,5006.841342842804,4779.815464196508,5227.95999043782
207,2015-05-08,4981.439163304569,4981.439163304569,4981.439163304569,5003.479840473857,4789.280080478882,5235.784782676947
208,2015-05-11,4977.736848597947,4977.736848597947,4977.736848597947,4982.430613226056,4768.447869109091,5202.385328053516
